id;file;predicted_keys;true_labels;true_positive;false_negative;false_positive;f1_score;recall;precision;
0;2.txt;23;6;1;5;22;0.06896551724137931;0.16666666666666666;0.043478260869565216;
1;2002.txt;66;20;2;18;64;0.046511627906976744;0.1;0.030303030303030304;
2;2004.txt;49;17;1;16;48;0.030303030303030304;0.058823529411764705;0.02040816326530612;
3;2009.txt;43;20;4;16;39;0.12698412698412698;0.2;0.09302325581395349;
4;2012.txt;40;24;2;22;38;0.0625;0.08333333333333333;0.05;
5;2014.txt;70;27;11;16;59;0.2268041237113402;0.4074074074074074;0.15714285714285714;
6;2019.txt;84;35;8;27;76;0.13445378151260504;0.22857142857142856;0.09523809523809523;
7;202.txt;81;17;2;15;79;0.04081632653061224;0.11764705882352941;0.024691358024691357;
8;2022.txt;23;17;0;17;23;0.0;0.0;0.0;
9;2024.txt;40;22;4;18;36;0.12903225806451613;0.18181818181818182;0.1;
10;2029.txt;44;16;1;15;43;0.03333333333333333;0.0625;0.022727272727272728;
11;2032.txt;33;15;4;11;29;0.16666666666666666;0.26666666666666666;0.12121212121212122;
12;2039.txt;22;7;2;5;20;0.13793103448275862;0.2857142857142857;0.09090909090909091;
13;204.txt;98;21;7;14;91;0.11764705882352941;0.3333333333333333;0.07142857142857142;
14;2042.txt;39;18;4;14;35;0.14035087719298245;0.2222222222222222;0.10256410256410256;
15;2044.txt;45;17;2;15;43;0.06451612903225806;0.11764705882352941;0.044444444444444446;
16;2049.txt;23;8;2;6;21;0.12903225806451613;0.25;0.08695652173913043;
17;2052.txt;30;10;0;10;30;0.0;0.0;0.0;
18;2054.txt;44;6;3;3;41;0.12;0.5;0.06818181818181818;
19;2059.txt;11;12;3;9;8;0.2608695652173913;0.25;0.2727272727272727;
20;2062.txt;22;9;4;5;18;0.25806451612903225;0.4444444444444444;0.18181818181818182;
21;2064.txt;21;6;2;4;19;0.14814814814814814;0.3333333333333333;0.09523809523809523;
22;2069.txt;42;10;3;7;39;0.11538461538461539;0.3;0.07142857142857142;
23;2082.txt;40;14;1;13;39;0.037037037037037035;0.07142857142857142;0.025;
24;2084.txt;46;9;2;7;44;0.07272727272727272;0.2222222222222222;0.043478260869565216;
25;2089.txt;5;12;0;12;5;0.0;0.0;0.0;
26;209.txt;31;9;1;8;30;0.05;0.1111111111111111;0.03225806451612903;
27;2092.txt;96;28;6;22;90;0.0967741935483871;0.21428571428571427;0.0625;
28;2094.txt;29;10;5;5;24;0.2564102564102564;0.5;0.1724137931034483;
29;2099.txt;47;13;1;12;46;0.03333333333333333;0.07692307692307693;0.02127659574468085;
30;2102.txt;32;16;1;15;31;0.041666666666666664;0.0625;0.03125;
31;2104.txt;56;16;4;12;52;0.1111111111111111;0.25;0.07142857142857142;
32;2109.txt;49;14;1;13;48;0.031746031746031744;0.07142857142857142;0.02040816326530612;
33;2112.txt;42;14;3;11;39;0.10714285714285714;0.21428571428571427;0.07142857142857142;
34;2114.txt;15;9;1;8;14;0.08333333333333333;0.1111111111111111;0.06666666666666667;
35;2119.txt;38;12;4;8;34;0.16;0.3333333333333333;0.10526315789473684;
36;212.txt;15;12;1;11;14;0.07407407407407407;0.08333333333333333;0.06666666666666667;
37;2122.txt;29;14;3;11;26;0.13953488372093023;0.21428571428571427;0.10344827586206896;
38;2124.txt;27;10;4;6;23;0.21621621621621623;0.4;0.14814814814814814;
39;2129.txt;24;8;3;5;21;0.1875;0.375;0.125;
40;2132.txt;26;11;1;10;25;0.05405405405405406;0.09090909090909091;0.038461538461538464;
41;2134.txt;32;16;2;14;30;0.08333333333333333;0.125;0.0625;
42;2139.txt;55;9;4;5;51;0.125;0.4444444444444444;0.07272727272727272;
43;214.txt;59;15;4;11;55;0.10810810810810811;0.26666666666666666;0.06779661016949153;
44;2142.txt;29;11;6;5;23;0.3;0.5454545454545454;0.20689655172413793;
45;2144.txt;23;7;3;4;20;0.2;0.42857142857142855;0.13043478260869565;
46;2149.txt;11;6;0;6;11;0.0;0.0;0.0;
47;2152.txt;29;12;1;11;28;0.04878048780487805;0.08333333333333333;0.034482758620689655;
48;2154.txt;73;12;0;12;73;0.0;0.0;0.0;
49;2159.txt;51;12;3;9;48;0.09523809523809523;0.25;0.058823529411764705;
50;2162.txt;31;8;2;6;29;0.10256410256410256;0.25;0.06451612903225806;
51;2164.txt;37;7;0;7;37;0.0;0.0;0.0;
52;2169.txt;18;7;2;5;16;0.16;0.2857142857142857;0.1111111111111111;
53;2172.txt;42;12;4;8;38;0.14814814814814814;0.3333333333333333;0.09523809523809523;
54;2174.txt;9;7;0;7;9;0.0;0.0;0.0;
55;2179.txt;74;13;2;11;72;0.04597701149425287;0.15384615384615385;0.02702702702702703;
56;2182.txt;69;8;2;6;67;0.05194805194805195;0.25;0.028985507246376812;
57;2184.txt;42;5;2;3;40;0.0851063829787234;0.4;0.047619047619047616;
58;2189.txt;31;5;2;3;29;0.1111111111111111;0.4;0.06451612903225806;
59;219.txt;10;7;1;6;9;0.11764705882352941;0.14285714285714285;0.1;
60;2192.txt;29;11;4;7;25;0.2;0.36363636363636365;0.13793103448275862;
61;2194.txt;22;11;2;9;20;0.12121212121212122;0.18181818181818182;0.09090909090909091;
62;2199.txt;21;13;5;8;16;0.29411764705882354;0.38461538461538464;0.23809523809523808;
63;22.txt;24;11;1;10;23;0.05714285714285714;0.09090909090909091;0.041666666666666664;
64;224.txt;20;6;1;5;19;0.07692307692307693;0.16666666666666666;0.05;
65;229.txt;7;3;0;3;7;0.0;0.0;0.0;
66;232.txt;40;21;1;20;39;0.03278688524590164;0.047619047619047616;0.025;
67;234.txt;14;13;0;13;14;0.0;0.0;0.0;
68;239.txt;74;9;4;5;70;0.0963855421686747;0.4444444444444444;0.05405405405405406;
69;24.txt;19;12;5;7;14;0.3225806451612903;0.4166666666666667;0.2631578947368421;
70;242.txt;28;8;1;7;27;0.05555555555555555;0.125;0.03571428571428571;
71;244.txt;36;7;3;4;33;0.13953488372093023;0.42857142857142855;0.08333333333333333;
72;249.txt;33;15;0;15;33;0.0;0.0;0.0;
73;252.txt;45;18;2;16;43;0.06349206349206349;0.1111111111111111;0.044444444444444446;
74;254.txt;33;10;4;6;29;0.18604651162790697;0.4;0.12121212121212122;
75;259.txt;54;20;7;13;47;0.1891891891891892;0.35;0.12962962962962962;
76;262.txt;21;15;2;13;19;0.1111111111111111;0.13333333333333333;0.09523809523809523;
77;264.txt;40;13;3;10;37;0.11320754716981132;0.23076923076923078;0.075;
78;269.txt;76;21;10;11;66;0.20618556701030927;0.47619047619047616;0.13157894736842105;
79;272.txt;60;18;5;13;55;0.1282051282051282;0.2777777777777778;0.08333333333333333;
80;274.txt;55;29;0;29;55;0.0;0.0;0.0;
81;279.txt;64;20;7;13;57;0.16666666666666666;0.35;0.109375;
82;282.txt;33;12;6;6;27;0.26666666666666666;0.5;0.18181818181818182;
83;284.txt;45;23;5;18;40;0.14705882352941177;0.21739130434782608;0.1111111111111111;
84;289.txt;45;21;3;18;42;0.09090909090909091;0.14285714285714285;0.06666666666666667;
85;29.txt;75;23;7;16;68;0.14285714285714285;0.30434782608695654;0.09333333333333334;
86;292.txt;60;23;3;20;57;0.07228915662650602;0.13043478260869565;0.05;
87;294.txt;42;14;3;11;39;0.10714285714285714;0.21428571428571427;0.07142857142857142;
88;299.txt;23;8;2;6;21;0.12903225806451613;0.25;0.08695652173913043;
89;APCollegePhysics-OP_js6ZFp7.txt;5259;104;71;33;5188;0.026477717695319782;0.6826923076923077;0.013500665525765355;
90;J-1.txt;587;15;6;9;581;0.019933554817275746;0.4;0.010221465076660987;
91;J-10.txt;851;14;3;11;848;0.006936416184971098;0.21428571428571427;0.0035252643948296123;
92;J-11.txt;819;17;7;10;812;0.01674641148325359;0.4117647058823529;0.008547008547008548;
93;J-13.txt;567;14;3;11;564;0.010327022375215147;0.21428571428571427;0.005291005291005291;
94;J-14.txt;671;13;6;7;665;0.017543859649122806;0.46153846153846156;0.00894187779433681;
95;J-15.txt;1029;9;2;7;1027;0.0038535645472061657;0.2222222222222222;0.001943634596695821;
96;J-17.txt;730;13;5;8;725;0.013458950201884253;0.38461538461538464;0.00684931506849315;
97;J-18.txt;511;13;4;9;507;0.015267175572519083;0.3076923076923077;0.007827788649706457;
98;J-4.txt;656;13;8;5;648;0.02391629297458894;0.6153846153846154;0.012195121951219513;
99;J-7.txt;757;16;4;12;753;0.01034928848641656;0.25;0.005284015852047556;
100;J-8.txt;509;23;11;12;498;0.041353383458646614;0.4782608695652174;0.021611001964636542;
101;J-9.txt;836;29;17;12;819;0.03930635838150289;0.24155787277922142;0.06685051724468505;
